sku,url
CB3700,https://mslvideos.s3-us-west-2.amazonaws.com/MAGNETIC-CAPTIVE-BALL-COCKRING-CB3700-CB3701-CB3702-CB3703_720p_2800k.mp4
CB380, https://mslvideos.s3-us-west-2.amazonaws.com/CB380DEMO_720p_2800k.mp4
CB3800,http://mslvideos.s3.amazonaws.com/CB3800_tread_cock_and_ball_ring_amp_commercial_silicone_cockring_action_shot.mp4
CB3800,http://mslvideos.s3.amazonaws.com/CB3800_tread_cock_and_ball_ring_amp_commercial_silicone_cockring.mp4
CB3801,http://mslvideos.s3.amazonaws.com/CB3801_cruiser_cock_ball_amp_commercial_silicone_cockring.mp4
CB401, https://mslvideos.s3-us-west-2.amazonaws.com/CB411-CB401_720p_2800k.mp4
CB411, https://mslvideos.s3-us-west-2.amazonaws.com/CB411-CB401_720p_2800k.mp4
CB411C, https://mslvideos.s3-us-west-2.amazonaws.com/CB411-CB401_720p_2800k.mp4
CB411S, https://mslvideos.s3-us-west-2.amazonaws.com/CB411-CB401_720p_2800k.mp4
CB4200,http://mslvideos.s3.amazonaws.com/CB4200_fleshlight_turbo_silicone_action_shot_porn_mr_s_leather.mp4
CB4200,http://mslvideos.s3.amazonaws.com/CB4200_fleshlight_turbo_trust_fleshjack_amp_commercial.mp4
CB422,https://mslvideos.s3-us-west-2.amazonaws.com/DOLANWOLFnBRIANBONDS-2_720p_2800k.mp4
CB6002,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-Sacksling-meat-cock-ring-Jesse-Dirk-CB6002-CB6004-Action-SD.mp4
CB6002,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-Oxballs-Sacksling-2-CB6002-Commercial-SD.mp4
CB6003,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-Oxballs-Tailpipe-Chastity-CB6003-Commercial-sd.mp4
CB6004,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-Sacksling-meat-cock-ring-Jesse-Dirk-CB6002-CB6004-Action-SD.mp4
CB6004,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-Meat-cock-ring-Cb6004-Amp-Commercial-SD.mp4
CB6005,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-360-cock-ring-ball-sling-jesse-dirk-Action-sd.mp4
CB6005,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-360-Cock-Ring-Ball-Sling-Cb6005-Amp-Commercial-sd.mp4
CB6006,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-Screwd-Jackoff-Sleeve-Kristofer-Abraham-CB6006-Action-SD.mp4
CB6006,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-SCREWD-Jackoff-Sleeve-Amp-CB6006-Commercial-SD.mp4
CB6008,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-Sacksling-Electrified-2-Dirk-Todd-CB6008-Action.mp4
CB601, https://mslvideos.s3-us-west-2.amazonaws.com/cb601-silicone-pump-ring_720p_2800k.mp4
CB601, https://mslvideos.s3-us-west-2.amazonaws.com/PUMPKITdemo_720p_2800k.mp4
CB6012,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-Butt-balls-cb6012-Jessie-Colter-Dylan-Strokes-Action.mp4
CB6012,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-butt-balls-CB6012-Amp-Commercial.mp4
CB6013,http://mslvideos.s3.amazonaws.com/Mr-S-Leather-AIR-CB6013-Dylan-Strokes-Jessie-Colter-Action.mp4
